1,&,000-001,&,基隆端-基隆交,&,Keelung End-Keelung Interchange,&,KL End.-KL Int.,\\,KL End.-KL Int.(001),KL End.-KL Int.(000-001),,基隆端-基隆交(000-001)
2,&,001-002,&,基隆交-八堵交,&,Keelung Interchange-Badu Interchange,&,KL Int.-BD Int.,\\,KL Int.-BD Int.(002),KL Int.-BD Int.(001-002),,基隆交-八堵交(001-002)
3,&,002-003,&,八堵交-大華系統(出),&,Badu Interchange-Dahua Junction(out),&,BD Int.-DH Jun.(out),\\,BD Int.-DH Jun.(out)(003),BD Int.-DH Jun.(out)(002-003),,八堵交-大華系統(出)(002-003)
4,&,003-004,&,八堵交-大華系統,&,Badu Interchange-Dahua Junction,&,BD Int.-DH Jun.,\\,BD Int.-DH Jun.(004),BD Int.-DH Jun.(003-004),,八堵交-大華系統(003-004)
5,&,004-005,&,八堵交-大華系統(入),&,Badu Interchange-Dahua Junction(in),&,BD Int.-DH Jun.(in),\\,BD Int.-DH Jun.(in)(005),BD Int.-DH Jun.(in)(004-005),,八堵交-大華系統(入)(004-005)
6,&,005-006,&,大華系統-五堵交,&,Dahua Junction-Wudu Interchange,&,DH Jun.-WD Int.,\\,DH Jun.-WD Int.(006),DH Jun.-WD Int.(005-006),,大華系統-五堵交(005-006)
7,&,006-007,&,五堵交-汐止交(出),&,Wudu Interchange-Xizhi Interchange(out),&,WD Int.-XZ Int.(out),\\,WD Int.-XZ Int.(out)(007),WD Int.-XZ Int.(out)(006-007),,五堵交-汐止交(出)(006-007)
8,&,007-009,&,五堵交-汐止交,&,Wudu Interchange-Xizhi Interchange,&,WD Int.-XZ Int.,\\,WD Int.-XZ Int.(008),WD Int.-XZ Int.(007-009),,五堵交-汐止交(007-009)
9,&,009-010,&,五堵交-汐止交(入),&,Wudu Interchange-Xizhi Interchange(in),&,WD Int.-XZ Int.(in),\\,WD Int.-XZ Int.(in)(009),WD Int.-XZ Int.(in)(009-010),,五堵交-汐止交(入)(009-010)
10,&,010-011,&,汐止交-汐止系統,&,Xizhi Interchange-Xizhi Junction,&,XZ Int.-XZ Jun.,\\,XZ Int.-XZ Jun.(010),XZ Int.-XZ Jun.(010-011),,汐止交-汐止系統(010-011)
11,&,011-012,&,汐止系統-汐止高架(出),&,Xizhi Junction-Xizhi Viaduct(out),&,XZ Jun.-XZ Via.(out),\\,XZ Jun.-XZ Via.(out)(011),XZ Jun.-XZ Via.(out)(011-012),,汐止系統-汐止高架(出)(011-012)
12,&,012-013,&,汐止系統-汐止高架(入),&,Xizhi Junction-Xizhi Viaduct(in),&,XZ Jun.-XZ Via.(in),\\,XZ Jun.-XZ Via.(in)(012),XZ Jun.-XZ Via.(in)(012-013),,汐止系統-汐止高架(入)(012-013)
13,&,013-014,&,汐止高架-東湖交(出),&,Xizhi Viaduct-Donghu Interchange(out),&,XZ Via.-DHu Int.(out),\\,XZ Via.-DHu Int.(out)(013),XZ Via.-DHu Int.(out)(013-014),,汐止高架-東湖交(出)(013-014)
14,&,014-015,&,汐止高架-東湖交(入),&,Xizhi Viaduct-Donghu Interchange(in),&,XZ Via.-DHu Int.(in),\\,XZ Via.-DHu Int.(in)(014),XZ Via.-DHu Int.(in)(014-015),,汐止高架-東湖交(入)(014-015)
15,&,015-016,&,東湖交-內湖交(出),&,Donghu Interchange-Neihu Interchange(out),&,DHu Int.-NHu Int.(out),\\,DHu Int.-NHu Int.(out)(015),DHu Int.-NHu Int.(out)(015-016),,東湖交-內湖交(出)(015-016)
16,&,016-017,&,東湖交-內湖交(入),&,Donghu Interchange-Neihu Interchange(in),&,DHu Int.-NHu Int.(in),\\,DHu Int.-NHu Int.(in)(016),DHu Int.-NHu Int.(in)(016-017),,東湖交-內湖交(入)(016-017)
17,&,017-018,&,內湖交-圓山交(出),&,Neihu Interchange-Yuanshan Interchange(out),&,NHu Int.-YS Int.(out),\\,NHu Int.-YS Int.(out)(017),NHu Int.-YS Int.(out)(017-018),,內湖交-圓山交(出)(017-018)
18,&,018-022,&,內湖交-圓山交,&,Neihu Interchange-Yuanshan Interchange,&,NHu Int.-YS Int.,\\,NHu Int.-YS Int.(018),NHu Int.-YS Int.(018-022),,內湖交-圓山交(018-022)
19,&,022-023,&,內湖交-圓山交(入),&,Neihu Interchange-Yuanshan Interchange(in),&,NHu Int.-YS Int.(in),\\,NHu Int.-YS Int.(in)(019),NHu Int.-YS Int.(in)(022-023),,內湖交-圓山交(入)(022-023)
20,&,023-024,&,圓山交-台北交(出),&,Yuanshan Interchange-Taipei Interchange(out),&,YS Int.-TP Int.(out),\\,YS Int.-TP Int.(out)(020),YS Int.-TP Int.(out)(023-024),,圓山交-台北交(出)(023-024)
21,&,024-025,&,圓山交-台北交(入),&,Yuanshan Interchange-Taipei Interchange(in),&,YS Int.-TP Int.(in),\\,YS Int.-TP Int.(in)(021),YS Int.-TP Int.(in)(024-025),,圓山交-台北交(入)(024-025)
22,&,025-026,&,台北交-三重交(出),&,Taipei Interchange-Sanchong Interchange(out),&,TP Int.-SC Int.(out),\\,TP Int.-SC Int.(out)(022),TP Int.-SC Int.(out)(025-026),,台北交-三重交(出)(025-026)
23,&,026-027,&,台北交-三重交(入),&,Taipei Interchange-Sanchong Interchange(in),&,TP Int.-SC Int.(in),\\,TP Int.-SC Int.(in)(023),TP Int.-SC Int.(in)(026-027),,台北交-三重交(入)(026-027)
24,&,027-028,&,三重交-五股轉接道(出),&,Sanchong Interchange-Wugu Transition(out),&,SC Int.-WG Tra.(out),\\,SC Int.-WG Tra.(out)(024),SC Int.-WG Tra.(out)(027-028),,三重交-五股轉接道(出)(027-028)
25,&,028-031,&,三重交-五股轉接道,&,Sanchong Interchange-Wugu Transition,&,SC Int.-WG Tra.,\\,SC Int.-WG Tra.(025),SC Int.-WG Tra.(028-031),,三重交-五股轉接道(028-031)
26,&,031-032,&,三重交-五股轉接道(入),&,Sanchong Interchange-Wugu Transition(in),&,SC Int.-WG Tra.(in),\\,SC Int.-WG Tra.(in)(026),SC Int.-WG Tra.(in)(031-032),,三重交-五股轉接道(入)(031-032)
27,&,032-033,&,五股轉接道-五股交,&,Wugu Transition-Wugu Interchange,&,WG Tra.-WG Int.,\\,WG Tra.-WG Int.(027),WG Tra.-WG Int.(032-033),,五股轉接道-五股交(032-033)
28,&,033-034,&,五股交-泰山轉接道(出),&,Wugu Interchange-TaishanTransition(out),&,WG Int.-TS Tra.(out),\\,WG Int.-TS Tra.(out)(028),WG Int.-TS Tra.(out)(033-034),,五股交-泰山轉接道(出)(033-034)
29,&,034-035,&,五股交-泰山轉接道(入),&,Wugu Interchange-TaishanTransition(in),&,WG Int.-TS Tra.(in),\\,WG Int.-TS Tra.(in)(029),WG Int.-TS Tra.(in)(034-035),,五股交-泰山轉接道(入)(034-035)
30,&,035-036,&,泰山轉接道-林口交(出),&,TaishanTransition-Linkou Interchange(out),&,TS Tra.-LK Int.(out),\\,TS Tra.-LK Int.(out)(030),TS Tra.-LK Int.(out)(035-036),,泰山轉接道-林口交(出)(035-036)
31,&,036-040,&,泰山轉接道-林口交,&,TaishanTransition-Linkou Interchange,&,TS Tra.-LK Int.,\\,TS Tra.-LK Int.(031),TS Tra.-LK Int.(036-040),,泰山轉接道-林口交(036-040)
32,&,040-041,&,泰山轉接道-林口交(入),&,TaishanTransition-Linkou Interchange(in),&,TS Tra.-LK Int.(in),\\,TS Tra.-LK Int.(in)(032),TS Tra.-LK Int.(in)(040-041),,泰山轉接道-林口交(入)(040-041)
33,&,041-042,&,林口交-桃園交(出),&,Linkou Interchange-Taoyuan Interchange(out),&,LK Int.-TY Int.(out),\\,LK Int.-TY Int.(out)(033),LK Int.-TY Int.(out)(041-042),,林口交-桃園交(出)(041-042)
34,&,042-048,&,林口交-桃園交,&,Linkou Interchange-Taoyuan Interchange,&,LK Int.-TY Int.,\\,LK Int.-TY Int.(034),LK Int.-TY Int.(042-048),,林口交-桃園交(042-048)
35,&,048-049,&,林口交-桃園交(入),&,Linkou Interchange-Taoyuan Interchange(in),&,LK Int.-TY Int.(in),\\,LK Int.-TY Int.(in)(035),LK Int.-TY Int.(in)(048-049),,林口交-桃園交(入)(048-049)
36,&,049-050,&,桃園交-機場系統(出),&,Taoyuan Interchange-Taoyuan Airport Junction(out),&,TY Int.-TY A. Jun.(out),\\,TY Int.-TY A. Jun.(out)(036),TY Int.-TY A. Jun.(out)(049-050),,桃園交-機場系統(出)(049-050)
37,&,050-051,&,桃園交-機場系統,&,Taoyuan Interchange-Taoyuan Airport Junction,&,TY Int.-TY A. Jun.,\\,TY Int.-TY A. Jun.(037),TY Int.-TY A. Jun.(050-051),,桃園交-機場系統(050-051)
38,&,051-052,&,桃園交-機場系統(入),&,Taoyuan Interchange-Taoyuan Airport Junction(in),&,TY Int.-TY A Jun.(in),\\,TY Int.-TY A Jun.(in)(038),TY Int.-TY A Jun.(in)(051-052),,桃園交-機場系統(入)(051-052)
39,&,052-053,&,機場系統-中壢服務區 (出),&,Taoyuan Airport Junction-Zhongli Service Area(out),&,TY A. Jun-ZL S. A.(out),\\,TY A. Jun-ZL S. A.(out)(039),TY A. Jun-ZL S. A.(out)(052-053),,機場系統-中壢服務區 (出)(052-053)
40,&,053-054,&,機場系統-中壢服務區 ,&,Taoyuan Airport Junction-Zhongli Service Area,&,TY A. Jun-ZL S. A.,\\,TY A. Jun-ZL S. A.(040),TY A. Jun-ZL S. A.(053-054),,機場系統-中壢服務區 (053-054)
41,&,054-055,&,機場系統-中壢服務區 (入),&,Taoyuan Airport Junction-Zhongli Service Area(in),&,TY A. Jun.-ZL S. A.(in),\\,TY A. Jun.-ZL S. A.(in)(041),TY A. Jun.-ZL S. A.(in)(054-055),,機場系統-中壢服務區 (入)(054-055)
42,&,055-056,&,中壢服務區 -內壢交(出),&,Zhongli Service Area-Neili Interchange(out),&,ZL S. A.-NL Int.(out),\\,ZL S. A.-NL Int.(out)(042),ZL S. A.-NL Int.(out)(055-056),,中壢服務區 -內壢交(出)(055-056)
43,&,056-057,&,中壢服務區 -內壢交(入),&,Zhongli Service Area-Neili Interchange(in),&,ZL S. A.-NL Int.(in),\\,ZL S. A.-NL Int.(in)(043),ZL S. A.-NL Int.(in)(056-057),,中壢服務區 -內壢交(入)(056-057)
44,&,057-058,&,內壢交-中壢轉接道(出),&,Neili Interchange-ZhongliTransition(out),&,NL Int.-ZLTra.(out),\\,NL Int.-ZLTra.(out)(044),NL Int.-ZLTra.(out)(057-058),,內壢交-中壢轉接道(出)(057-058)
45,&,058-059,&,內壢交-中壢轉接道(入),&,Neili Interchange-ZhongliTransition(in),&,NL Int.-ZLTra.(in),\\,NL Int.-ZLTra.(in)(045),NL Int.-ZLTra.(in)(058-059),,內壢交-中壢轉接道(入)(058-059)
46,&,059-060,&,中壢轉接道-中壢交(出),&,ZhongliTransition-Zhongli Interchange(out),&,ZLTra.-ZL Int.(out),\\,ZLTra.-ZL Int.(out)(046),ZLTra.-ZL Int.(out)(059-060),,中壢轉接道-中壢交(出)(059-060)
47,&,060-061,&,中壢轉接道-中壢交,&,ZhongliTransition-Zhongli Interchange,&,ZL Tra.-ZL Int.,\\,ZL Tra.-ZL Int.(047),ZL Tra.-ZL Int.(060-061),,中壢轉接道-中壢交(060-061)
48,&,061-062,&,中壢轉接道-中壢交(入),&,ZhongliTransition-Zhongli Interchange(in),&,ZL Tra.-ZL Int.(in),\\,ZL Tra.-ZL Int.(in)(048),ZL Tra.-ZL Int.(in)(061-062),,中壢轉接道-中壢交(入)(061-062)
49,&,062-063,&,中壢交-平鎮系統(出),&,Zhongli Interchange-Pingzhen Junction(out),&,ZL Int.-PZ Jun.(out),\\,ZL Int.-PZ Jun.(out)(049),ZL Int.-PZ Jun.(out)(062-063),,中壢交-平鎮系統(出)(062-063)
50,&,063-064,&,中壢交-平鎮系統,&,Zhongli Interchange-Pingzhen Junction,&,ZL Int.-PZ Jun.,\\,ZL Int.-PZ Jun.(050),ZL Int.-PZ Jun.(063-064),,中壢交-平鎮系統(063-064)
51,&,064-065,&,中壢交-平鎮系統(入),&,Zhongli Interchange-Pingzhen Junction(in),&,ZL Int.-PZ Jun.(in),\\,ZL Int.-PZ Jun.(in)(051),ZL Int.-PZ Jun.(in)(064-065),,中壢交-平鎮系統(入)(064-065)
52,&,065-066,&,平鎮系統-幼獅交(出),&,Pingzhen Junction-Youshih Interchange(out),&,PZ Jun.-YoS Int.(out),\\,PZ Jun.-YoS Int.(out)(052),PZ Jun.-YoS Int.(out)(065-066),,平鎮系統-幼獅交(出)(065-066)
53,&,066-067,&,平鎮系統-幼獅交(入),&,Pingzhen Junction-Youshih Interchange(in),&,PZ Jun.-YoS Int.(in),\\,PZ Jun.-YoS Int.(in)(053),PZ Jun.-YoS Int.(in)(066-067),,平鎮系統-幼獅交(入)(066-067)
54,&,067-068,&,幼獅交-楊梅交(出),&,Youshih Interchange-Yangmei Interchange(out),&,YoS Int.-YM Int.(out),\\,YoS Int.-YM Int.(out)(054),YoS Int.-YM Int.(out)(067-068),,幼獅交-楊梅交(出)(067-068)
55,&,068-069,&,幼獅交-楊梅交(入),&,Youshih Interchange-Yangmei Interchange(in),&,YoS Int.-YM Int.(in),\\,YoS Int.-YM Int.(in)(055),YoS Int.-YM Int.(in)(068-069),,幼獅交-楊梅交(入)(068-069)
56,&,069-070,&,楊梅交-楊梅高架(出),&,Yangmei Interchange-Yangmei Viaduct(out),&,YM Int.-YM Via.(out),\\,YM Int.-YM Via.(out)(056),YM Int.-YM Via.(out)(069-070),,楊梅交-楊梅高架(出)(069-070)
57,&,070-071,&,楊梅交-楊梅高架(入),&,Yangmei Interchange-Yangmei Viaduct(in),&,YM Int.-YM Via.(in),\\,YM Int.-YM Via.(in)(057),YM Int.-YM Via.(in)(070-071),,楊梅交-楊梅高架(入)(070-071)
58,&,071-072,&,楊梅高架-湖口交(出),&,Yangmei Viaduct-Hukou Interchange(out),&,YM Via.-HK Int.(out),\\,YM Via.-HK Int.(out)(058),YM Via.-HK Int.(out)(071-072),,楊梅高架-湖口交(出)(071-072)
59,&,072-082,&,楊梅高架-湖口交,&,Yangmei Viaduct-Hukou Interchange,&,YM Via.-HK Int.,\\,YM Via.-HK Int.(059),YM Via.-HK Int.(072-082),,楊梅高架-湖口交(072-082)
60,&,082-083,&,楊梅高架-湖口交(入),&,Yangmei Viaduct-Hukou Interchange(in),&,YM Via.-HK Int.(in),\\,YM Via.-HK Int.(in)(060),YM Via.-HK Int.(in)(082-083),,楊梅高架-湖口交(入)(082-083)
61,&,083-084,&,湖口交-湖口服務區(出),&,Hukou Interchange-Hukou Service Area(out),&,HK Int.-HK S. A.(out),\\,HK Int.-HK S. A.(out)(061),HK Int.-HK S. A.(out)(083-084),,湖口交-湖口服務區(出)(083-084)
62,&,084-085,&,湖口交-湖口服務區,&,Hukou Interchange-Hukou Service Area,&,HK Int.-HK S. A.,\\,HK Int.-HK S. A.(062),HK Int.-HK S. A.(084-085),,湖口交-湖口服務區(084-085)
63,&,085-086,&,湖口交-湖口服務區(入),&,Hukou Interchange-Hukou Service Area(in),&,HK Int.-HK S. A.(in),\\,HK Int.-HK S. A.(in)(063),HK Int.-HK S. A.(in)(085-086),,湖口交-湖口服務區(入)(085-086)
64,&,086-087,&,湖口服務區-竹北交(出),&,Hukou Service Area-Zhubei Interchange(out),&,HK S. A.-ZB Int.(out),\\,HK S. A.-ZB Int.(out)(064),HK S. A.-ZB Int.(out)(086-087),,湖口服務區-竹北交(出)(086-087)
65,&,087-090,&,湖口服務區-竹北交,&,Hukou Service Area-Zhubei Interchange,&,HK S. A.-ZB Int.,\\,HK S. A.-ZB Int.(065),HK S. A.-ZB Int.(087-090),,湖口服務區-竹北交(087-090)
66,&,090-091,&,湖口服務區-竹北交(入),&,Hukou Service Area-Zhubei Interchange(in),&,HK S. A.-ZB Int.(in),\\,HK S. A.-ZB Int.(in)(066),HK S. A.-ZB Int.(in)(090-091),,湖口服務區-竹北交(入)(090-091)
67,&,091-092,&,竹北交 -新竹交(出),&,Zhubei Interchange-Hsinchu Interchange(out),&,ZB Int.-HC Int.(out),\\,ZB Int.-HC Int.(out)(067),ZB Int.-HC Int.(out)(091-092),,竹北交 -新竹交(出)(091-092)
68,&,092-094,&,竹北交 -新竹交,&,Zhubei Interchange-Hsinchu Interchange,&,ZB Int.-HC Int.,\\,ZB Int.-HC Int.(068),ZB Int.-HC Int.(092-094),,竹北交 -新竹交(092-094)
69,&,094-095,&,竹北交 -新竹交(入),&,Zhubei Interchange-Hsinchu Interchange(in),&,ZB Int.-HC Int.(in),\\,ZB Int.-HC Int.(in)(069),ZB Int.-HC Int.(in)(094-095),,竹北交 -新竹交(入)(094-095)
70,&,095-096,&,新竹交-新竹系統(出),&,Hsinchu Interchange-Hsinchu Junction(out),&,HC Int.-HC Jun.(out),\\,HC Int.-HC Jun.(out)(070),HC Int.-HC Jun.(out)(095-096),,新竹交-新竹系統(出)(095-096)
71,&,096-098,&,新竹交-新竹系統,&,Hsinchu Interchange-Hsinchu Junction,&,HC Int.-HC Jun.,\\,HC Int.-HC Jun.(071),HC Int.-HC Jun.(096-098),,新竹交-新竹系統(096-098)
72,&,098-099,&,新竹交-新竹系統(入),&,Hsinchu Interchange-Hsinchu Junction(in),&,HC Int.-HC Jun.(in),\\,HC Int.-HC Jun.(in)(072),HC Int.-HC Jun.(in)(098-099),,新竹交-新竹系統(入)(098-099)
73,&,099-100,&,新竹系統-頭份交(出),&,Hsinchu Junction-Toufen Interchange(out),&,HC Jun.-TF Int.(out),\\,HC Jun.-TF Int.(out)(073),HC Jun.-TF Int.(out)(099-100),,新竹系統-頭份交(出)(099-100)
74,&,100-109,&,新竹系統-頭份交,&,Hsinchu Junction-Toufen Interchange,&,HC Jun.-TF Int.,\\,HC Jun.-TF Int.(074),HC Jun.-TF Int.(100-109),,新竹系統-頭份交(100-109)
75,&,109-110,&,新竹系統-頭份交(入),&,Hsinchu Junction-Toufen Interchange(in),&,HC Jun.-TF Int.(in),\\,HC Jun.-TF Int.(in)(075),HC Jun.-TF Int.(in)(109-110),,新竹系統-頭份交(入)(109-110)
76,&,110-111,&,頭份交-頭屋交(出),&,Toufen Interchange-Touwu Interchange(out),&,TF Int.-TW Int.(out),\\,TF Int.-TW Int.(out)(076),TF Int.-TW Int.(out)(110-111),,頭份交-頭屋交(出)(110-111)
77,&,111-124,&,頭份交-頭屋交,&,Toufen Interchange-Touwu Interchange,&,TF Int.-TW Int.,\\,TF Int.-TW Int.(077),TF Int.-TW Int.(111-124),,頭份交-頭屋交(111-124)
78,&,124-125,&,頭份交-頭屋交(入),&,Toufen Interchange-Touwu Interchange(in),&,TF Int.-TW Int.(in),\\,TF Int.-TW Int.(in)(078),TF Int.-TW Int.(in)(124-125),,頭份交-頭屋交(入)(124-125)
79,&,125-126,&,頭屋交-苗栗交(出),&,Touwu Interchange-Miaoli Interchange(out),&,TW Int.-ML Int.(out),\\,TW Int.-ML Int.(out)(079),TW Int.-ML Int.(out)(125-126),,頭屋交-苗栗交(出)(125-126)
80,&,126-131,&,頭屋交-苗栗交,&,Touwu Interchange-Miaoli Interchange,&,TW Int.-ML Int.,\\,TW Int.-ML Int.(080),TW Int.-ML Int.(126-131),,頭屋交-苗栗交(126-131)
81,&,131-132,&,頭屋交-苗栗交(入),&,Touwu Interchange-Miaoli Interchange(in),&,TW Int.-ML Int.(in),\\,TW Int.-ML Int.(in)(081),TW Int.-ML Int.(in)(131-132),,頭屋交-苗栗交(入)(131-132)
82,&,132-133,&,苗栗交-銅鑼交(出),&,Miaoli Interchange-Tongluo Interchange(out),&,ML Int.-TL Int.(out),\\,ML Int.-TL Int.(out)(082),ML Int.-TL Int.(out)(132-133),,苗栗交-銅鑼交(出)(132-133)
83,&,133-139,&,苗栗交-銅鑼交,&,Miaoli Interchange-Tongluo Interchange,&,ML Int.-TL Int.,\\,ML Int.-TL Int.(083),ML Int.-TL Int.(133-139),,苗栗交-銅鑼交(133-139)
84,&,139-140,&,苗栗交-銅鑼交(入),&,Miaoli Interchange-Tongluo Interchange(in),&,ML Int.-TL Int.(in),\\,ML Int.-TL Int.(in)(084),ML Int.-TL Int.(in)(139-140),,苗栗交-銅鑼交(入)(139-140)
85,&,140-141,&,銅鑼交-三義交(出),&,Tongluo Interchange-Sanyi Interchange(out),&,TL Int.-SY Int.(out),\\,TL Int.-SY Int.(out)(085),TL Int.-SY Int.(out)(140-141),,銅鑼交-三義交(出)(140-141)
86,&,141-149,&,銅鑼交-三義交,&,Tongluo Interchange-Sanyi Interchange,&,TL Int.-SY Int.,\\,TL Int.-SY Int.(086),TL Int.-SY Int.(141-149),,銅鑼交-三義交(141-149)
87,&,149-150,&,銅鑼交-三義交(入),&,Tongluo Interchange-Sanyi Interchange(in),&,TL Int.-SY Int.(in),\\,TL Int.-SY Int.(in)(087),TL Int.-SY Int.(in)(149-150),,銅鑼交-三義交(入)(149-150)
88,&,150-151,&,三義交-泰安服務區(出),&,Sanyi Interchange-Tai'an Service Area(out),&,SY Int.-Tai'an S. A.(out),\\,SY Int.-Tai'an S. A.(out)(088),SY Int.-Tai'an S. A.(out)(150-151),,三義交-泰安服務區(出)(150-151)
89,&,151-158,&,三義交-泰安服務區,&,Sanyi Interchange-Tai'an Service Area,&,SY Int.-Tai'an S. A.,\\,SY Int.-Tai'an S. A.(089),SY Int.-Tai'an S. A.(151-158),,三義交-泰安服務區(151-158)
90,&,158-159,&,三義交-泰安服務區(入),&,Sanyi Interchange-Tai'an Service Area(in),&,SY Int.-Tai'an S. A.(in),\\,SY Int.-Tai'an S. A.(in)(090),SY Int.-Tai'an S. A.(in)(158-159),,三義交-泰安服務區(入)(158-159)
91,&,159-160,&,泰安服務區-后里交,&,Tai'an Service Area-Houli Interchange,&,Tai'an S. A.-HL Int.,\\,Tai'an S. A.-HL Int.(091),Tai'an S. A.-HL Int.(159-160),,泰安服務區-后里交(159-160)
92,&,160-161,&,后里交-台中系統(出),&,Houli Interchange-Taichung Junction(out),&,HL Int.-TC Jun.(out),\\,HL Int.-TC Jun.(out)(092),HL Int.-TC Jun.(out)(160-161),,后里交-台中系統(出)(160-161)
93,&,161-164,&,后里交-台中系統,&,Houli Interchange-Taichung Junction,&,HL Int.-TC Jun.,\\,HL Int.-TC Jun.(093),HL Int.-TC Jun.(161-164),,后里交-台中系統(161-164)
94,&,164-165,&,后里交-台中系統(入),&,Houli Interchange-Taichung Junction(in),&,HL Int.-TC Jun.(in),\\,HL Int.-TC Jun.(in)(094),HL Int.-TC Jun.(in)(164-165),,后里交-台中系統(入)(164-165)
95,&,165-166,&,台中系統 -豐原交(出),&,Taichung Junction-Fengyuan Interchange(out),&,TC Jun.-FY Int.(out),\\,TC Jun.-FY Int.(out)(095),TC Jun.-FY Int.(out)(165-166),,台中系統 -豐原交(出)(165-166)
96,&,166-167,&,台中系統 -豐原交,&,Taichung Junction-Fengyuan Interchange,&,TC Jun.-FY Int.,\\,TC Jun.-FY Int.(096),TC Jun.-FY Int.(166-167),,台中系統 -豐原交(166-167)
97,&,167-168,&,台中系統 -豐原交(入),&,Taichung Junction-Fengyuan Interchange(in),&,TC Jun.-FY Int.(in),\\,TC Jun.-FY Int.(in)(097),TC Jun.-FY Int.(in)(167-168),,台中系統 -豐原交(入)(167-168)
98,&,168-169,&,豐原交 -大雅交(出),&,Fengyuan Interchange-Daya Interchange(out),&,FY Int.-DY Int.(out),\\,FY Int.-DY Int.(out)(098),FY Int.-DY Int.(out)(168-169),,豐原交 -大雅交(出)(168-169)
99,&,169-173,&,豐原交 -大雅交,&,Fengyuan Interchange-Daya Interchange,&,FY Int.-DY Int.,\\,FY Int.-DY Int.(099),FY Int.-DY Int.(169-173),,豐原交 -大雅交(169-173)
100,&,173-174,&,豐原交 -大雅交(入),&,Fengyuan Interchange-Daya Interchange(in),&,FY Int.-DY Int.(in),\\,FY Int.-DY Int.(in)(100),FY Int.-DY Int.(in)(173-174),,豐原交 -大雅交(入)(173-174)
101,&,174-175,&,大雅交-台中交(出),&,Daya Interchange-Taichung Interchange(out),&,DY Int.-TC Int.(out),\\,DY Int.-TC Int.(out)(101),DY Int.-TC Int.(out)(174-175),,大雅交-台中交(出)(174-175)
102,&,175-177,&,大雅交-台中交,&,Daya Interchange-Taichung Interchange,&,DY Int.-TC Int.,\\,DY Int.-TC Int.(102),DY Int.-TC Int.(175-177),,大雅交-台中交(175-177)
103,&,177-178,&,大雅交-台中交(入),&,Daya Interchange-Taichung Interchange(in),&,DY Int.-TC Int.(in),\\,DY Int.-TC Int.(in)(103),DY Int.-TC Int.(in)(177-178),,大雅交-台中交(入)(177-178)
104,&,178-179,&,台中交-南屯交(出),&,Taichung Interchange-Nantun Interchange(out),&,TC Int.-NC Int.(out),\\,TC Int.-NC Int.(out)(104),TC Int.-NC Int.(out)(178-179),,台中交-南屯交(出)(178-179)
105,&,179-180,&,台中交-南屯交,&,Taichung Interchange-Nantun Interchange,&,TC Int.-NC Int.,\\,TC Int.-NC Int.(105),TC Int.-NC Int.(179-180),,台中交-南屯交(179-180)
